X,Y,Z,Label
-28.779245994292484,28.779245994292488,189.3,A0
-6.173888892008441,46.89534194298123,204.3,C0
-35.24723393402666,20.349999999999998,189.3,A1
6.1738888920084465,46.89534194298123,204.3,C1
-39.31318112996508,10.533935135672605,189.3,A2
18.10092635086875,43.69950188778387,204.3,C2
-40.7,4.984312472529728e-15,189.3,A3
28.794415592112486,37.525612995775425,204.3,C3
-39.31318112996508,-10.533935135672598,189.3,A4
37.525612995775425,28.794415592112486,204.3,C4
-35.24723393402665,-20.350000000000005,189.3,A5
43.69950188778387,18.10092635086875,204.3,C5
-28.77924599429249,-28.779245994292484,189.3,A6
46.89534194298123,6.17388889200844,204.3,C6
-20.350000000000023,-35.247233934026646,189.3,A7
46.89534194298123,-6.17388889200844,204.3,C7
-10.53393513567259,-39.31318112996508,189.3,A8
43.69950188778387,-18.10092635086875,204.3,C8
-7.476468708794592e-15,-40.7,189.3,A9
37.525612995775425,-28.794415592112486,204.3,C9
10.533935135672577,-39.31318112996509,189.3,A10
28.794415592112486,-37.525612995775425,204.3,C10
20.350000000000005,-35.24723393402665,189.3,A11
18.10092635086875,-43.69950188778387,204.3,C11
28.77924599429248,-28.77924599429249,189.3,A12
6.1738888920084465,-46.89534194298123,204.3,C12
35.247233934026646,-20.350000000000023,189.3,A13
-6.173888892008441,-46.89534194298123,204.3,C13
39.31318112996508,-10.533935135672593,189.3,A14
-18.100926350868747,-43.69950188778387,204.3,C14
40.7,-9.968624945059456e-15,189.3,A15
-28.794415592112486,-37.525612995775425,204.3,C15
39.31318112996509,10.533935135672575,189.3,A16
-37.52561299577542,-28.7944155921125,204.3,C16
35.24723393402665,20.35,189.3,A17
-43.69950188778387,-18.100926350868754,204.3,C17
28.77924599429249,28.77924599429248,189.3,A18
-46.89534194298123,-6.17388889200844,204.3,C18
20.34999999999999,35.24723393402666,189.3,A19
-46.89534194298124,6.173888892008428,204.3,C19
10.533935135672595,39.31318112996508,189.3,A20
-43.699501887783875,18.100926350868743,204.3,C20
1.246078118132432e-14,40.7,189.3,A21
-37.525612995775425,28.794415592112486,204.3,C21
-10.533935135672573,39.31318112996509,189.3,A22
-28.7944155921125,37.52561299577542,204.3,C22
-20.34999999999997,35.247233934026674,189.3,A23
-18.100926350868736,43.699501887783875,204.3,C23
8.677040182954032,-100.82732255526474,0,D0_S0
20.363633298595417,-99.13002793745362,0,D0_S1
31.929590218792463,-96.03093912099365,0,D0_S2
42.89912404953582,-91.657542819904,0,D0_S3
57.928198505728936,-82.98050263694998,0,D1_S0
67.20043771866115,-75.66730582239823,0,D1_S1
75.66730582239825,-67.20043771866115,0,D1_S2
82.98050263694998,-57.928198505728936,0,D1_S3
91.657542819904,-42.89912404953581,0,D2_S0
96.03093912099365,-31.929590218792463,0,D2_S1
99.13002793745362,-20.363633298595417,0,D2_S2
100.82732255526474,-8.677040182954027,0,D2_S3
100.82732255526474,8.677040182954027,0,D3_S0
99.13002793745362,20.363633298595417,0,D3_S1
96.03093912099365,31.929590218792466,0,D3_S2
91.657542819904,42.89912404953581,0,D3_S3
82.98050263694998,57.928198505728936,0,D4_S0
75.66730582239825,67.20043771866115,0,D4_S1
67.20043771866115,75.66730582239823,0,D4_S2
57.928198505728936,82.98050263694998,0,D4_S3
42.89912404953582,91.657542819904,0,D5_S0
31.929590218792463,96.03093912099365,0,D5_S1
20.363633298595417,99.13002793745362,0,D5_S2
8.677040182954055,100.82732255526474,0,D5_S3
-8.677040182954043,100.82732255526474,0,D6_S0
-20.36363329859545,99.1300279374536,0,D6_S1
-31.929590218792452,96.03093912099366,0,D6_S2
-42.89912404953579,91.65754281990401,0,D6_S3
-57.92819850572895,82.98050263694996,0,D7_S0
-67.20043771866116,75.6673058223982,0,D7_S1
-75.66730582239823,67.20043771866116,0,D7_S2
-82.98050263694995,57.92819850572897,0,D7_S3
-91.657542819904,42.89912404953581,0,D8_S0
-96.03093912099366,31.929590218792452,0,D8_S1
-99.1300279374536,20.363633298595445,0,D8_S2
-100.82732255526474,8.67704018295404,0,D8_S3
-100.82732255526474,-8.677040182954059,0,D9_S0
-99.13002793745362,-20.36363329859542,0,D9_S1
-96.03093912099366,-31.929590218792423,0,D9_S2
-91.65754281990401,-42.899124049535786,0,D9_S3
-82.98050263694996,-57.92819850572895,0,D10_S0
-75.66730582239822,-67.20043771866116,0,D10_S1
-67.20043771866116,-75.66730582239823,0,D10_S2
-57.928198505728936,-82.98050263694998,0,D10_S3
-42.899124049535814,-91.657542819904,0,D11_S0
-31.929590218792413,-96.03093912099368,0,D11_S1
-20.363633298595452,-99.1300279374536,0,D11_S2
-8.67704018295409,-100.82732255526474,0,D11_S3
